구분,2020년,2021년,2022년,평균,증감률,증감
청딱다구리,99,81,35,72,-0.746464646,0.5
팔색조,0,0,0,0,0,0.85
푸른날개팔색조,0,0,0,0,0,0.85
회색숲제비,0,0,0,0,0,0.85
검은할미새사촌,0,0,0,0,0,0.85
할미새사촌,0,0,0,0,0,0.85
검은가슴할미새사촌,0,0,0,0,0,0.85
칡때까치,0,0,0,0,0,0.85
때까치,500,433,335,423,-0.33,0.7
노랑때까치,0,0,0,0,0,0.85
붉은등때까치,0,0,0,0,0,0.85
긴꼬리때까치,3,4,0,2,-1,0.5
재때까치,0,0,1,0,0,0.85
물때까치,64,12,14,30,-0.78125,0.5
꾀꼬리,0,0,0,0,0,0.85
검은바람까마귀,0,0,0,0,0,0.85
회색바람까마귀,0,0,0,0,0,0.85
바람까마귀,0,0,0,0,0,0.85
북방긴꼬리딱새,0,0,0,0,0,0.85
긴꼬리딱새,0,0,0,0,0,0.85
어치,178,106,59,114,-0.768539326,0.5
물까치,"2,594","1,583","1,551",1909,-0.502081727,0.7
까치,"8,670","7,792","5,360",7274,-0.38177624,0.7
잣까마귀,0,0,0,0,0,0.85
붉은부리까마귀,0,0,0,0,0,0.85
갈까마귀,"5,000","4,505","7,056",5520,0.5112,1
집까마귀,0,0,0,0,0,0.85
떼까마귀,"125,545","94,672","92,219",104145,-0.265450635,0.7
까마귀,620,328,377,442,-0.391935484,0.7
큰부리까마귀,"2,586","3,187","1,489",2421,-0.52420727,0.7
큰까마귀,0,0,0,0,0,0.85
황여새,312,0,0,104,-1,0.5
홍여새,9,0,0,3,-1,0.5
박새,"2,751","2,437","1,148",2112,-0.582697201,0.5
노랑배진박새,0,1,0,0,0,0.85
진박새,293,111,15,140,-0.948805461,0.5
곤줄박이,230,235,48,171,-0.791304348,0.5
쇠박새,915,729,484,709,-0.571038251,0.7
북방쇠박새,0,0,0,0,0,0.85
스윈호오목눈이,2,59,50,37,24,1
갈색제비,0,0,0,0,0,0.85
제비,38,0,8,15,-0.789473684,0.5
바위산제비,0,0,0,0,0,0.85
흰턱제비,0,0,0,0,0,0.85
흰털발제비,0,0,0,0,0,0.85
귀제비,0,0,0,0,0,0.85
오목눈이,"1,363","1,245","1,406",1338,0.031548056,1
쇠종다리,0,0,0,0,0,0.85
북방쇠종다리,0,0,0,0,0,0.85
흰날개종다리,0,0,0,0,0,0.85
뿔종다리,0,0,0,0,0,0.85
종다리,"1,897","2,679","1,276",1951,-0.327358988,0.7
남방종다리,0,0,0,0,0,0.85
해변종다리,0,0,0,0,0,0.85
개개비사촌,3,4,4,4,0.333333333,1
꼬리치레,0,0,0,0,0,0.85
검은이마직박구리,291,192,390,291,0.340206186,1
직박구리,"5,027","3,831","3,162",4007,-0.370996618,0.7
큰개개비,0,0,0,0,0,0.85
숲새,0,0,0,0,0,0.85
휘파람새,25,14,27,22,0.08,1
